OBJECTID,Id,gridcode,ShapeLongitude,ShapeLatitude,Shape_Length,Shape_Area,Longitude,Latitude
1,677032,35017280,170.5613956,53.36952802,2882.153214,409746.7188,170.5295171,53.37421223
2,677033,85851600,170.5792764,53.38112912,8386.036852,4416711.635,170.5773241,53.39118512
3,678375,25861556,170.5791121,53.33769684,11263.74104,3485467.497,170.5577599,53.34549263
4,678376,87085264,170.6017571,53.36130771,13835.1527,11603741.38,170.6055445,53.36245418
5,678377,50762808,170.6848919,53.37336079,2657.973464,348360.8809,170.6533696,53.37939453
6,678378,74766400,170.6916634,53.37613595,1644.240629,167419.2668,170.7012353,53.39631366
7,679718,65040160,170.5954911,53.31871906,13152.67148,8627781.654,170.5859622,53.31676431
8,679719,93803936,170.6335785,53.33338484,14478.29266,13497750.76,170.6337243,53.33371455
9,679720,61300748,170.6851884,53.34901473,15227.85642,11402113.45,170.6815269,53.35064359
10,679721,18927372,170.718142,53.35235223,8147.429328,1395036.268,170.7293701,53.36755141
11,681060,2601675,170.6023926,53.26618787,1068.826882,40228.8588,170.5664246,53.27106719
12,681061,3271519,170.6152962,53.28804481,14541.71755,13185474.28,170.6141238,53.28802731
13,681062,97246816,170.6618636,53.30496625,14816,13719616,170.6618636,53.30496625
14,681063,96012752,170.7096437,53.32188399,14816,13719616,170.7096437,53.32188399
15,681064,26655268,170.7544855,53.33146822,13439.85426,7108794.317,170.7574643,53.33878051
16,681065,22282332,170.7957259,53.33370342,709.7638236,22040.4542,170.8053254,53.35565579
17,682403,79424272,170.6075298,53.26080033,4523.686868,210345.8755,170.5945681,53.24233278
18,682404,71436272,170.6424527,53.2595785,14539.30877,13496130.23,170.6422451,53.25928161
19,682405,48776348,170.6899624,53.27620927,14816,13719616,170.6899624,53.27620927
20,682406,52006452,170.7377201,53.29311573,14816,13719616,170.7377201,53.29311573
21,682407,3480924,170.7855181,53.31000098,14816,13719616,170.7855181,53.31000098
22,682408,66790664,170.8258638,53.31927563,11238.27093,6134597.034,170.8333566,53.32686498
23,683747,62353092,170.6750625,53.23370559,13163.89621,10184191.5,170.670326,53.23052724
24,683748,27516048,170.7180209,53.24744363,14816,13719616,170.7180209,53.24744363
25,683749,56322048,170.7657561,53.26433883,14816,13719616,170.7657561,53.26433883
26,683750,49425556,170.8135316,53.28121282,14816,13719616,170.8135316,53.28121282
27,683751,71915736,170.8580321,53.29611847,13627.86932,11406506.74,170.8613474,53.29806556
28,685090,98124976,170.7112332,53.20953427,10547.05113,4573052.55,170.6983665,53.2017642
29,685091,69485424,170.7460391,53.21866935,14816,13719616,170.7460391,53.21866935
30,685092,44862940,170.7937518,53.2355533,14816,13719616,170.7937518,53.2355533
