OBJECTID,Id,gridcode,ShapeLongitude,ShapeLatitude,Shape_Length,Shape_Area,Longitude,Latitude
4,602648,38833348,-139.5625746,59.9881645,14699.7295,13301861.49,-139.56222,59.9878988
10,603991,13244375,-139.5766826,59.9554619,14668.0387,13469373.38,-139.57658,59.9555571
13,605306,65378336,-141.419187,60.1103808,14816,13719616,-141.41919,60.1103808
17,605333,48950156,-139.6514564,59.9265494,13494.5669,10046514.45,-139.65583,59.9303277
18,605334,46475316,-139.5953719,59.9258825,13775.8613,10878820.96,-139.59090,59.9232135
21,606649,7722500,-141.4262215,60.0807351,14652.4066,9973453.481,-141.43176,60.0778532
22,606650,1411756,-141.3664212,60.0714221,16145.1285,13540299.18,-141.36618,60.0716066
23,606651,23938560,-141.3122165,60.0685099,14604.7618,7136037.136,-141.30062,60.0653279
24,606675,66761540,-139.7204927,59.901589,11435.911,6989962.932,-139.73497,59.905051
25,606676,30464148,-139.6700689,59.8979754,14816,13719616,-139.67007,59.8979754
37,607994,52955500,-141.3187161,60.0314789,13463.457,11282120.75,-141.31330,60.0328111
40,608018,74653176,-139.7449838,59.8712116,13817.1627,11653938.24,-139.74912,59.8726901
41,608019,48516208,-139.6842773,59.8656213,14816,13719616,-139.68428,59.8656213
43,609264,80037960,-146.157773,60.36477,10769.9706,6957955.711,-146.16052,60.372452
44,609265,88328984,-146.095313,60.3615034,18339.0393,10934398.94,-146.09360,60.3685351
45,609266,16046245,-146.0267031,60.3645851,14816,13719616,-146.02670,60.3645851
46,609267,15166287,-145.9598205,60.360602,14816,13719616,-145.95982,60.360602
47,609268,14675502,-145.8929543,60.3565858,14816,13719616,-145.89295,60.3565858
48,609269,62277776,-145.8274015,60.3473804,25526.7014,11894910.29,-145.82610,60.3525365
49,609270,80281456,-145.7541675,60.345201,21853.0651,11355864.46,-145.75927,60.3484541
50,609271,35876308,-145.6924553,60.3443386,14816,13719616,-145.69246,60.3443386
51,609272,97255536,-145.6315545,60.3387928,16718.8624,10883228.12,-145.62566,60.34019
54,609336,8441866,-141.3866113,60.0036786,13611.613,10647974.15,-141.39138,60.0065593
55,609337,7343594,-141.3259487,60.0002929,14816,13719616,-141.32595,60.0002929
56,609338,28487504,-141.2791256,59.9939925,11229.613,5845818.127,-141.26054,59.9939944
57,609361,98847336,-139.7585351,59.8401677,15536.604,11675672.62,-139.76324,59.8403273
58,609362,85622680,-139.698458,59.8332653,14816,13719616,-139.69846,59.8332653
59,609363,6147812,-139.6363078,59.8253171,13965.786,12570616.08,-139.63371,59.8261718
62,610605,82496736,-146.2996927,60.3379462,11018.2205,5735465.271,-146.30219,60.347291
64,610607,88844296,-146.1674722,60.3390847,14841.8884,13240688.06,-146.16845,60.3395645
65,610608,25785616,-146.1015972,60.3356515,14816,13719616,-146.10160,60.3356515
66,610609,89803552,-146.0347647,60.3317055,14816,13719616,-146.03476,60.3317055
67,610610,42673824,-145.9679484,60.3277263,14816,13719616,-145.96795,60.3277263
68,610611,55563740,-145.9011484,60.3237141,14816,13719616,-145.90115,60.3237141
69,610612,30171854,-145.834365,60.3196688,14816,13719616,-145.83437,60.3196688
70,610613,70958992,-145.767598,60.3155905,14816,13719616,-145.76760,60.3155905
71,610614,22039954,-145.7008479,60.3114791,14816,13719616,-145.70085,60.3114791
72,610615,78880192,-145.6341145,60.3073348,14816,13719616,-145.63411,60.3073348
74,610617,72573656,-145.4971831,60.2921645,12846.4446,7703244.917,-145.50070,60.2989469
75,610618,33660248,-145.4534924,60.2850843,14809.4385,5108233.354,-145.43402,60.2947035
80,610659,37821092,-142.7177129,60.0849519,11433.0949,7441263.688,-142.71644,60.0924893
81,610660,63612316,-142.6523511,60.0807582,12110.2636,8601141.905,-142.65060,60.086873
82,610661,38707460,-142.5862093,60.0761675,12443.6348,9487568.867,-142.58478,60.0812243
83,610662,10916512,-142.5212485,60.0702642,12421.3808,9245736.847,-142.51898,60.0755433
84,610663,38153744,-142.4585797,60.0631434,11975.6987,7647737.262,-142.45320,60.0698299
95,610678,43922160,-141.4679518,59.978889,14011.3185,12568917.6,-141.46935,59.9802618
96,610679,73054464,-141.4039484,59.9740335,14816,13719616,-141.40395,59.9740335
97,610680,45990796,-141.3383644,59.9680188,18208.5025,13459275.96,-141.33858,59.9677731
101,610704,73806496,-139.7773179,59.8079533,14752.2702,13712914.99,-139.77733,59.8079627
102,610705,251029,-139.712611,59.8009075,14816,13719616,-139.71261,59.8009075
103,610706,5770438,-139.6479195,59.7938208,14816,13719616,-139.64792,59.7938208
106,611947,48865352,-146.3736472,60.3157303,13681.1127,11386521.71,-146.37680,60.3182048
107,611948,4743427,-146.3099709,60.3143951,14816,13719616,-146.30997,60.3143951
108,611949,12330975,-146.2431569,60.3105522,14816,13719616,-146.24316,60.3105522
109,611950,63964908,-146.1763587,60.3066763,14816,13719616,-146.17636,60.3066763
110,611951,24008560,-146.1095764,60.3027672,14816,13719616,-146.10958,60.3027672
111,611952,52936376,-146.0428101,60.2988251,14816,13719616,-146.04281,60.2988251
112,611953,95661520,-145.97606,60.29485,14816,13719616,-145.97606,60.29485
113,611954,62635648,-145.9093261,60.2908418,14816,13719616,-145.90933,60.2908418
114,611955,36192272,-145.8426087,60.2868005,14816,13719616,-145.84261,60.2868005
115,611956,37587760,-145.7759078,60.2827263,14816,13719616,-145.77591,60.2827263
116,611957,72748024,-145.7092236,60.278619,14816,13719616,-145.70922,60.278619
117,611958,35163104,-145.6425562,60.2744787,14816,13719616,-145.64256,60.2744787
118,611959,21081464,-145.5759057,60.2703055,14816,13719616,-145.57591,60.2703055
119,611960,70151520,-145.5092723,60.2660993,14816,13719616,-145.50927,60.2660993
120,611961,88498368,-145.4426561,60.2618601,14816,13719616,-145.44266,60.2618601
121,611962,6368611,-145.3788935,60.2560293,15493.0686,12076226.31,-145.37606,60.257588
123,611964,13216036,-145.2447801,60.2419948,15619.2045,5181646.757,-145.24291,60.248945
134,611975,88527800,-144.5228816,60.1867684,12031.4036,1426424.537,-144.51190,60.1990586
137,611999,88975752,-142.923447,60.0744668,13801.0617,11995349.37,-142.92521,60.0764843
138,612000,2253442,-142.859363,60.0709706,14816,13719616,-142.85936,60.0709706
139,612001,44892440,-142.7935363,60.0654245,14816,13719616,-142.79354,60.0654245
140,612002,7174885,-142.7277318,60.0598461,14816,13719616,-142.72773,60.0598461
141,612003,92099352,-142.6619496,60.0542353,14816,13719616,-142.66195,60.0542353
142,612004,61685984,-142.5961899,60.0485921,14816,13719616,-142.59619,60.0485921
143,612005,53420056,-142.5304528,60.0429167,14816,13719616,-142.53045,60.0429167
144,612006,5262191,-142.4647384,60.0372089,14816,13719616,-142.46474,60.0372089
145,612007,82360056,-142.3990467,60.0314689,14816,13719616,-142.39905,60.0314689
146,612008,65898144,-142.333378,60.0256966,14816,13719616,-142.33338,60.0256966
147,612009,28319884,-142.2677324,60.0198921,14816,13719616,-142.26773,60.0198921
148,612010,26524838,-142.2021099,60.0140553,14816,13719616,-142.20211,60.0140553
149,612011,53320740,-142.1365107,60.0081863,14816,13719616,-142.13651,60.0081863
150,612012,89290168,-142.0709349,60.0022851,14816,13719616,-142.07093,60.0022851
151,612013,25238534,-142.0053825,59.9963518,14816,13719616,-142.00538,59.9963518
152,612014,22261032,-141.9398538,59.9903862,14816,13719616,-141.93985,59.9903862
153,612015,40190912,-141.8765215,59.9832198,14114.7505,12500432.46,-141.87435,59.9843885
