OBJECTID,Id,gridcode,ShapeLon,ShapeLat,MeanSediment,ARDEMdepth,Depth,Shape_Length,Shape_Area,Lon,Lat
1,513438,3769048,-178.8623638,60.70159698,226.3889923,227.6999512,,8383.054267,2589539.36,-178.8847106,60.70990308
2,513439,67792120,-178.8449547,60.70978323,220.868866,228.9688873,,4276.548471,454633.4599,-178.8213155,60.72200904
3,514780,10394107,-178.9154095,60.66317472,249.1621552,251.8999481,,7936.851173,2321210.011,-178.9231076,60.66695818
4,514781,54571048,-178.8597295,60.67899635,232.2696381,232.2999878,,12842.6165,9219002.048,-178.8598111,60.67908201
5,514779,30528406,-178.9628638,60.64646056,265.9936218,264.7998657,,14622.51654,13590236.9,-178.9863565,60.65480499
6,514782,20164956,-178.8163761,60.673961,222.6862793,221.0988007,,5226.446224,326686.0526,-178.7964673,60.69117645
7,516122,53570204,-178.9610485,60.62392041,273.2391663,278.9999695,,7491.093064,2067763.551,-178.9614027,60.62400239
8,516123,37979652,-178.8982046,60.63614404,250.587738,252.5000763,,12669.34335,8898104.945,-178.8982046,60.63614404
9,516124,15332647,-178.8349591,60.64825635,228.8919373,230.1834869,,14547.26844,13597126.35,-178.8349591,60.64825635
10,516125,91481896,-178.7965186,60.65361995,219.5482025,226.9999695,,14816,13719616,-178.7716664,60.66033928
11,516120,72247168,-179.063023,60.59124998,344.9378967,361.5350647,,14816,13719616,-179.0876566,60.59963116
12,516121,80319728,-179.0164348,60.60773939,308.7401733,313.2000122,,8710.020266,2262060.369,-179.0245534,60.61183141
13,517461,6047298,-179.162984,60.53595789,448.9012756,462.7000427,,7097.357687,1852914.466,-179.1886121,60.54438193
14,517462,67250312,-179.1171308,60.55223501,407.3704224,422.500061,,12499.58422,8586966.016,-179.1256544,60.55662907
15,517463,21055644,-179.0621145,60.56872058,355.8027649,351.1000366,,14481.5653,13529914.89,-179.0626491,60.568847
16,517464,51161092,-178.9995964,60.58103571,311.2011414,304.0999146,,14816,13719616,-178.9995964,60.58103571
17,517465,18676518,-178.9364964,60.59319515,275.1034851,290.999939,,14816,13719616,-178.9364964,60.59319515
18,517466,97991632,-178.873349,60.60532529,251.5619659,248.5655823,,14816,13719616,-178.873349,60.60532529
19,517467,72864808,-178.8101545,60.6174261,232.3862762,231.0000763,,14816,13719616,-178.8101545,60.6174261
20,517468,63616664,-178.7701242,60.62480975,220.2735291,219.406723,,9426.5656,3564151.481,-178.7469127,60.62949756
21,518802,49263776,-179.2626591,60.48060987,554.62854,570.4000854,,6727.917518,1665020.294,-179.2892244,60.48905763
22,518803,52710448,-179.2175254,60.49670916,509.0600891,510.8066711,,12354.6085,8321571.966,-179.2264117,60.50135147
23,518804,67674912,-179.1628386,60.51344426,461.0236816,475.500061,,14425.83254,13460961.45,-179.1635515,60.5136162
24,518805,42254112,-179.1006439,60.52585177,414.583313,399.0000305,,14816,13719616,-179.1006439,60.52585177
25,518806,39960308,-179.037689,60.53805817,368.3000793,365.0000916,,14816,13719616,-179.037689,60.53805817
26,518807,34919084,-178.9746868,60.55023535,318.8320313,330.8850708,,14816,13719616,-178.9746868,60.55023535
27,518808,51674992,-178.9116373,60.56238328,277.7065735,286.6495667,,14816,13719616,-178.9116373,60.56238328
28,518809,76885088,-178.8485407,60.57450193,251.5889435,258.4434509,,14816,13719616,-178.8485407,60.57450193
29,518810,96901664,-178.7853969,60.58659127,225.6727142,224.9987946,,14816,13719616,-178.7853969,60.58659127
30,518811,40410084,-178.7463914,60.59614523,215.7535553,217.1015778,,9198.045849,3675028.856,-178.7222061,60.59865127
31,520154,48002536,-178.7342576,60.57466175,219.3611145,218.9551239,,6358.797984,1487352.097,-178.6975466,60.56780042
32,520143,42826916,-179.3619962,60.42518855,691.472168,709.9741211,,12211.59808,8056760.346,-179.3894946,60.43365858
33,520144,29577308,-179.3175692,60.44111286,630.4524536,646.2509766,,14371.48405,13383880.27,-179.3268267,60.44599896
34,520145,34304820,-179.2632054,60.45808759,571.0140991,584.0102539,,14816,13719616,-179.2641113,60.4583103
35,520146,90328872,-179.2013485,60.47059257,517.3210449,526.999939,,14816,13719616,-179.2013485,60.47059257
36,520147,34444968,-179.1385383,60.48284574,470.796936,475.2600708,,14816,13719616,-179.1385383,60.48284574
37,520148,3518550,-179.0756809,60.49506978,426.4632263,419.0000916,,14816,13719616,-179.0756809,60.49506978
38,520149,9830335,-179.0127762,60.50726466,381.1089783,387.689209,,14816,13719616,-179.0127762,60.50726466
39,520150,23023820,-178.9498244,60.51943033,332.0220337,341.9919128,,14816,13719616,-178.9498244,60.51943033
40,520151,23355748,-178.8868254,60.53156678,286.70401,301.7734375,,14816,13719616,-178.8868254,60.53156678
41,520152,45175728,-178.8237795,60.54367396,250.8815918,272.534668,,14816,13719616,-178.8237795,60.54367396
42,520153,55665368,-178.7606865,60.55575186,233.060257,226.3103943,,8200.643837,803323.8076,-178.7606865,60.55575186
43,521484,72409584,-179.4613207,60.36968433,934.1355591,1005.326111,,6110.735508,1369003.266,-179.4894241,60.37818511
44,521485,40134064,-179.4173443,60.38546407,829.3225098,847.2716675,,12081.98693,7828683.777,-179.4269006,60.39057185
45,521486,98353392,-179.3632155,60.40264996,712.9710083,743.7260132,,14318.69101,13297817.51,-179.3643296,60.40292963
46,521487,93388568,-179.3017113,60.41525843,644.5286865,651.4000854,,14816,13719616,-179.3017113,60.41525843
