OBJECTID,Id,gridcode,ShapeLongi,ShapeLatit,Shape_Leng,Shape_Area,Longitude,Latitude
1,601305,53593616,-139.5375913,60.01131667,10661.30823,4865319.912,-139.5478426,60.0202387
13,605306,65378336,-141.419187,60.11038084,14816,13719616,-141.419187,60.11038084
17,605333,48950156,-139.6514564,59.92654936,13494.56692,10046514.45,-139.6558328,59.93032765
18,605334,46475316,-139.5953719,59.92588253,13775.86131,10878820.96,-139.5909004,59.92321351
21,606649,7722500,-141.4262215,60.0807351,14652.40658,9973453.481,-141.4317639,60.07785323
22,606650,1411756,-141.3664212,60.07142213,16145.12852,13540299.18,-141.3661797,60.07160664
23,606651,23938560,-141.3122165,60.06850989,14604.76178,7136037.136,-141.3006204,60.06532793
24,606675,66761540,-139.7204927,59.90158896,11435.91095,6989962.932,-139.7349687,59.90505101
25,606676,30464148,-139.6700689,59.89797537,14816,13719616,-139.6700689,59.89797537
37,607994,52955500,-141.3187161,60.03147886,13463.45704,11282120.75,-141.3132971,60.03281114
40,608018,74653176,-139.7449838,59.87121155,13817.16268,11653938.24,-139.7491168,59.87269005
41,608019,48516208,-139.6842773,59.86562125,14816,13719616,-139.6842773,59.86562125
45,609266,16046245,-146.0267031,60.36458513,14816,13719616,-146.0267031,60.36458513
46,609267,15166287,-145.9598205,60.36060201,14816,13719616,-145.9598205,60.36060201
48,609269,62277776,-145.8274015,60.3473804,25526.70141,11894910.29,-145.8261046,60.35253645
49,609270,80281456,-145.7541675,60.34520099,21853.06507,11355864.46,-145.7592715,60.34845405
50,609271,35876308,-145.6924553,60.34433857,14816,13719616,-145.6924553,60.34433857
51,609272,97255536,-145.6315545,60.33879282,16718.86237,10883228.12,-145.6256559,60.34019003
54,609336,8441866,-141.3866113,60.00367863,13611.61299,10647974.15,-141.3913836,60.00655931
55,609337,7343594,-141.3259487,60.00029288,14816,13719616,-141.3259487,60.00029287
56,609338,28487504,-141.2791256,59.99399254,11229.61303,5845818.127,-141.2605387,59.99399439
57,609361,98847336,-139.7585351,59.8401677,15536.60401,11675672.62,-139.7632372,59.84032728
58,609362,85622680,-139.698458,59.83326531,14816,13719616,-139.698458,59.83326531
59,609363,6147812,-139.6363078,59.82531705,13965.78604,12570616.08,-139.6337064,59.82617176
62,610605,82496736,-146.2996927,60.33794616,11018.22045,5735465.271,-146.3021907,60.347291
64,610607,88844296,-146.1674722,60.33908465,14841.8884,13240688.06,-146.1684458,60.33956445
65,610608,25785616,-146.1015972,60.3356515,14816,13719616,-146.1015972,60.3356515
66,610609,89803552,-146.0347647,60.33170545,14816,13719616,-146.0347647,60.33170545
67,610610,42673824,-145.9679484,60.32772631,14816,13719616,-145.9679484,60.32772631
68,610611,55563740,-145.9011484,60.3237141,14816,13719616,-145.9011484,60.3237141
69,610612,30171854,-145.834365,60.31966883,14816,13719616,-145.834365,60.31966883
70,610613,70958992,-145.767598,60.3155905,14816,13719616,-145.767598,60.3155905
71,610614,22039954,-145.7008479,60.31147914,14816,13719616,-145.7008479,60.31147914
72,610615,78880192,-145.6341145,60.30733475,14816,13719616,-145.6341145,60.30733475
73,610616,82253544,-145.5864718,60.29494064,22178.58815,7167296.108,-145.5673982,60.30315734
74,610617,72573656,-145.4971831,60.29216449,12846.44461,7703244.917,-145.500699,60.29894693
75,610618,33660248,-145.4534924,60.28508426,14809.43846,5108233.354,-145.434017,60.29470354
80,610659,37821092,-142.7177129,60.08495194,11433.09485,7441263.688,-142.7164447,60.09248932
81,610660,63612316,-142.6523511,60.08075818,12110.26361,8601141.905,-142.6505992,60.086873
82,610661,38707460,-142.5862093,60.07616746,12443.63481,9487568.867,-142.5847763,60.08122432
83,610662,10916512,-142.5212485,60.0702642,12421.38081,9245736.847,-142.518976,60.0755433
84,610663,38153744,-142.4585797,60.06314343,11975.69873,7647737.262,-142.4531985,60.06982994
85,610664,54541520,-142.3897656,60.05533998,10787.14497,6407504.255,-142.3874438,60.06408428
86,610665,16610345,-142.3249438,60.0499094,11002.63659,6636590.357,-142.3217122,60.05830632
87,610666,59489084,-142.2600365,60.04351235,10770.55993,6090085.083,-142.2560036,60.05249608
95,610678,43922160,-141.4679518,59.978889,14011.31851,12568917.6,-141.469346,59.98026175
96,610679,73054464,-141.4039484,59.97403346,14816,13719616,-141.4039484,59.97403346
97,610680,45990796,-141.3383644,59.96801883,18208.50252,13459275.96,-141.3385755,59.96777313
98,610681,52282108,-141.29146,59.96424571,27229.95411,5282710.019,-141.2732274,59.96148079
101,610704,73806496,-139.7773179,59.8079533,14752.27021,13712914.99,-139.7773301,59.80796268
102,610705,251029,-139.712611,59.80090752,14816,13719616,-139.712611,59.80090752
103,610706,5770438,-139.6479195,59.79382081,14816,13719616,-139.6479195,59.79382081
106,611947,48865352,-146.3736472,60.31573026,13681.11271,11386521.71,-146.3768005,60.31820484
107,611948,4743427,-146.3099709,60.31439508,14816,13719616,-146.3099709,60.31439508
108,611949,12330975,-146.2431569,60.31055221,14816,13719616,-146.2431569,60.31055221
109,611950,63964908,-146.1763587,60.30667625,14816,13719616,-146.1763587,60.30667625
110,611951,24008560,-146.1095764,60.30276721,14816,13719616,-146.1095764,60.30276721
111,611952,52936376,-146.0428101,60.29882511,14816,13719616,-146.0428101,60.29882511
112,611953,95661520,-145.97606,60.29484995,14816,13719616,-145.97606,60.29484995
113,611954,62635648,-145.9093261,60.29084175,14816,13719616,-145.9093261,60.29084175
114,611955,36192272,-145.8426087,60.28680051,14816,13719616,-145.8426087,60.28680051
115,611956,37587760,-145.7759078,60.28272626,14816,13719616,-145.7759078,60.28272626
116,611957,72748024,-145.7092236,60.278619,14816,13719616,-145.7092236,60.278619
117,611958,35163104,-145.6425562,60.27447874,14816,13719616,-145.6425562,60.27447874
118,611959,21081464,-145.5759057,60.27030551,14816,13719616,-145.5759057,60.27030551
119,611960,70151520,-145.5092723,60.2660993,14816,13719616,-145.5092723,60.2660993
120,611961,88498368,-145.4426561,60.26186014,14816,13719616,-145.4426561,60.26186013
121,611962,6368611,-145.3788935,60.25602927,15493.06856,12076226.31,-145.3760572,60.25758803
122,611963,21501884,-145.3291634,60.24292898,13139.17385,3883665.52,-145.3094757,60.25328299
123,611964,13216036,-145.2447801,60.24199478,15619.20452,5181646.757,-145.2429118,60.24894503
134,611975,88527800,-144.5228816,60.18676839,12031.40363,1426424.537,-144.5119042,60.19905862
137,611999,88975752,-142.923447,60.07446681,13801.06174,11995349.37,-142.9252119,60.07648432
138,612000,2253442,-142.859363,60.07097061,14816,13719616,-142.859363,60.07097061
139,612001,44892440,-142.7935363,60.06542452,14816,13719616,-142.7935363,60.06542452
140,612002,7174885,-142.7277318,60.05984607,14816,13719616,-142.7277318,60.05984607
141,612003,92099352,-142.6619496,60.05423527,14816,13719616,-142.6619496,60.05423527
142,612004,61685984,-142.5961899,60.04859214,14816,13719616,-142.5961899,60.04859214
143,612005,53420056,-142.5304528,60.04291669,14816,13719616,-142.5304528,60.04291669
144,612006,5262191,-142.4647384,60.03720894,14816,13719616,-142.4647384,60.03720894
145,612007,82360056,-142.3990467,60.03146892,14816,13719616,-142.3990467,60.03146892
146,612008,65898144,-142.333378,60.02569662,14816,13719616,-142.333378,60.02569662
147,612009,28319884,-142.2677324,60.01989208,14816,13719616,-142.2677324,60.01989208
148,612010,26524838,-142.2021099,60.0140553,14816,13719616,-142.2021099,60.0140553
149,612011,53320740,-142.1365107,60.00818631,14816,13719616,-142.1365107,60.00818631
150,612012,89290168,-142.0709349,60.00228512,14816,13719616,-142.0709349,60.00228512
151,612013,25238534,-142.0053825,59.99635176,14816,13719616,-142.0053825,59.99635176
152,612014,22261032,-141.9398538,59.99038622,14816,13719616,-141.9398538,59.99038622
153,612015,40190912,-141.8765215,59.98321976,14114.75047,12500432.46,-141.8743489,59.98438854
154,612016,14556974,-141.8167565,59.97159896,11669.61281,7084883.804,-141.8088678,59.97835873
157,612019,86659792,-141.6106791,59.95227567,11680.47054,7067819.391,-141.6125687,59.9600767
158,612020,12415479,-141.5464357,59.95331276,14297.547,13228354.32,-141.5471841,59.95391855
159,612021,14888745,-141.481824,59.94772835,14816,13719616,-141.481824,59.94772835
160,612022,51320676,-141.416545,59.94154278,14789.87689,13690503.3,-141.4164884,59.94150613
161,612023,7363918,-141.3487426,59.94154035,18044.15719,9670193.131,-141.3511774,59.93525191
164,612045,61135340,-139.9178724,59.78518814,13305.10081,9805214.653,-139.9207957,59.78959837
165,612046,51521432,-139.856082,59.78261309,14816,13719616,-139.856082,59.78261309
166,612047,28247418,-139.7913956,59.77559626,14816,13719616,-139.7913956,59.77559625
167,612048,21173670,-139.7267365,59.76854788,14816,13719616,-139.7267365,59.76854788
168,612049,96588744,-139.6621049,59.76146799,14816,13719616,-139.6621049,59.76146799
169,612050,15466921,-139.5981404,59.75424303,14299.59873,13464571.92,-139.5975009,59.75435661
174,613289,90558424,-146.4491393,60.28777676,14117.6743,12473074.21,-146.4512776,60.28907734
175,613290,84880080,-146.3844988,60.28530447,14816,13719616,-146.3844988,60.28530447
176,613291,86995776,-146.3177354,60.28149851,14816,13719616,-146.3177354,60.28149851
177,613292,28261766,-146.2509877,60.27765948,14816,13719616,-146.2509877,60.27765948
178,613293,49325312,-146.1842557,60.2737874,14816,13719616,-146.1842557,60.2737874
179,613294,58239788,-146.1175395,60.26988226,14816,13719616,-146.1175395,60.26988226
180,613295,40782312,-146.0508393,60.2659441,14816,13719616,-146.0508393,60.2659441
181,613296,66878364,-145.9841552,60.2619729,14816,13719616,-145.9841552,60.2619729
182,613297,7670721,-145.9174874,60.2579687,14816,13719616,-145.9174874,60.2579687
183,613298,92691656,-145.8508359,60.2539315,14816,13719616,-145.8508359,60.2539315
184,613299,97517416,-145.7842009,60.24986131,14816,13719616,-145.7842009,60.24986131
185,613300,49881036,-145.7175826,60.24575814,14816,13719616,-145.7175826,60.24575814
186,613301,92142584,-145.650981,60.24162201,14816,13719616,-145.650981,60.24162201
187,613302,20835850,-145.5843962,60.23745293,14816,13719616,-145.5843962,60.23745293
188,613303,74829560,-145.5178285,60.23325092,14816,13719616,-145.5178285,60.23325092
189,613304,29613652,-145.4512779,60.22901597,14816,13719616,-145.4512779,60.22901597
190,613305,9520482,-145.3847446,60.22474812,14816,13719616,-145.3847446,60.22474812
191,613306,41040764,-145.3182287,60.22044736,14816,13719616,-145.3182287,60.22044736
192,613307,6984766,-145.2517303,60.21611372,14816,13719616,-145.2517303,60.21611372
193,613308,76980456,-145.1861457,60.21129935,14759.86627,13272939.52,-145.1852495,60.2117472
194,613309,56572700,-145.1186462,60.20725348,14670.88757,13646147.08,-145.1187865,60.20734782
