"","gridcode","Stratum","Area_KM2","lon_centro","lat_centro","Shape_Leng","Shape_Area","lon","lat"
"1",35982600,"71",0.0805180347143,-690759.512,1803575.02047,0.0242246408362,1.55900350995e-05,-169.027223756,65.484847493
"2",87167104,"71",3.826729873,-688529.610313,1804030.80698,0.168408657937,0.000741380808228,-168.982540421,65.4933167103
"3",67129400,"71",2.1013136472,-685492.735964,1803808.50716,0.171617698887,0.000407055550586,-168.917595528,65.4974552157
"4",65401928,"71",0.0440897836673,-682971.591067,1803519.19543,0.0282463900094,8.54187908947e-06,-168.863164888,65.4999597513
"5",28326010,"71",2.74081853749,-695301.332,1800370.14477,0.141109491981,0.000529843317508,-169.107069129,65.447642614
"6",18211174,"71",10.6996837618,-692215.053156,1801275.52041,0.206291424874,0.00206983475549,-169.046670047,65.4617973767
"7",44118608,"71",13.719616,-688734.2069,1801619.7754,0.230378348999,0.00265518718215,-168.975217207,65.4718117195
"8",41546472,"71",13.719616,-685030.2069,1801619.7754,0.230387042858,0.00265593700151,-168.897362406,65.479227013
"9",81111952,"71",12.6280753687,-681397.427095,1801480.08757,0.226424425248,0.00244534624711,-168.820298584,65.4852401552
"10",96824096,"71",9.5234008852,-677724.262724,1801065.043,0.211501768606,0.00184430443831,-168.741039345,65.4888826857
"11",47412536,"71",6.3746365968,-674070.673416,1800645.77866,0.194568805719,0.00123466634521,-168.662152635,65.4924114799
"12",34193280,"71",3.2258721232,-670515.495543,1800237.80741,0.177668229565,0.000624869354409,-168.58537241,65.4958081963
"13",39631848,"71",0.433093569698,-667714.638667,1799916.3976,0.0885449726084,8.39005262853e-05,-168.524872681,65.4984620333
"14",25050768,"71",1.01158172141,-702312.4853,1796429.72663,0.0855611430267,0.000195208568701,-169.23483884,65.3989426597
"15",21596840,"71",8.1531236792,-699536.774599,1797256.52991,0.194047452728,0.0015740514682,-169.180730327,65.4118228084
"16",31234202,"71",13.5856523117,-696126.149202,1797898.82661,0.225071512796,0.00262460742505,-169.112375899,65.4243627938
"17",9914231,"71",13.719616,-692438.2069,1797915.7754,0.230155560339,0.00265116558116,-169.035110158,65.4319595938
"18",98759832,"71",13.719616,-688734.2069,1797915.7754,0.230164447492,0.00265191579846,-168.957383468,65.439403584
"19",7288039,"71",13.719616,-685030.2069,1797915.7754,0.230173151179,0.00265266264688,-168.879615071,65.4468097385
"20",72876888,"71",13.719616,-681326.2069,1797915.7754,0.230181669799,0.00265340607589,-168.801805146,65.454178025
"21",68842728,"71",13.719616,-677622.2069,1797915.7754,0.230190008041,0.00265414616788,-168.723953875,65.4615084116
"22",76412912,"71",13.719616,-673918.2069,1797915.7754,0.230198167677,0.00265488288424,-168.646061439,65.4688008667
"23",29718876,"71",13.719616,-670214.2069,1797915.7754,0.230206149492,0.00265561624194,-168.568128018,65.4760553596
"24",86104688,"71",13.3636303033,-666543.901851,1797870.03045,0.227928191756,0.0025876091811,-168.490650585,65.482806561
"25",76539160,"71",10.6479597316,-662897.484341,1797511.60943,0.217371876644,0.00206192324247,-168.412183816,65.4867294072
"26",24799678,"71",7.4991954432,-659231.809954,1797090.95828,0.200501467814,0.00145235350925,-168.333001141,65.4901065348
"27",65409640,"71",4.3504311548,-655621.614302,1796676.67354,0.183662992662,0.000842632228383,-168.254998828,65.4933945214
"28",66811592,"71",1.22372580172,-652457.6862,1796313.59983,0.14885911364,0.00023704052025,-168.18662545,65.496246418
"29",40161668,"71",0.126740742242,-709323.6386,1792489.30853,0.0302269921432,2.44143346111e-05,-169.36215815,65.3501441547
"30",46850588,"71",5.526045752,-706797.67072,1793241.72072,0.17950133006,0.00106480728462,-169.313056861,65.3619032253
"31",28063408,"71",12.6878109884,-703450.049106,1794091.22215,0.215793634355,0.00244670238459,-169.247215184,65.3761818401
"32",96847760,"71",13.719616,-699846.2069,1794211.7754,0.229923898326,0.00264640165237,-169.172387863,65.3845776772
"33",43180024,"71",13.719616,-696142.2069,1794211.7754,0.229933162931,0.00264715553212,-169.094830915,65.3920880075
"34",4170626,"71",13.719616,-692438.2069,1794211.7754,0.229942241229,0.00264790603932,-169.017232048,65.3995606063
