"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Both"," [kg]",705488311.679474,33898020.3357413,0.0572930020378353
"1","1983","Both"," [kg]",867657214.860334,49431150.2999505,0.068375609422137
"1","1984","Both"," [kg]",698140109.497728,30968984.4718672,0.0524641745219001
"1","1985","Both"," [kg]",872638151.041532,34527804.4491942,0.0466797042584847
"1","1986","Both"," [kg]",871052155.173527,35599682.045373,0.0482864912193175
"1","1987","Both"," [kg]",820416176.952777,40889327.928991,0.0598010539447197
"1","1988","Both"," [kg]",536914019.568644,20317124.4168939,0.0442015107452924
"1","1989","Both"," [kg]",355461465.230782,17208479.218673,0.0571127186303413
"1","1990","Both"," [kg]",473504185.770718,21000925.1194059,0.0518216090340169
"1","1991","Both"," [kg]",513656642.894573,22983935.1767379,0.0521700448690118
"1","1992","Both"," [kg]",546927477.962862,27180691.2347642,0.0584687125941295
"1","1993","Both"," [kg]",809234996.689786,38734808.1420544,0.0563883976112849
"1","1994","Both"," [kg]",1128385250.85439,47332341.8584724,0.0490280326761061
"1","1995","Both"," [kg]",700131292.624946,28531530.9880606,0.0476446714722407
"1","1996","Both"," [kg]",620931409.286226,31083489.1280065,0.0592891884986994
"1","1997","Both"," [kg]",527395517.745364,24936899.5578446,0.0558825317548675
"1","1998","Both"," [kg]",614477129.557364,36527173.5298543,0.0707594604800189
"1","1999","Both"," [kg]",519046686.026017,23531876.3089327,0.0534704404650843
"1","2000","Both"," [kg]",505235567.318351,23181082.8184341,0.0537774629627593
"1","2001","Both"," [kg]",997129286.176581,45526827.2405229,0.0533837290110455
"1","2002","Both"," [kg]",625058979.08853,35791716.1113565,0.0677196869328508
"1","2003","Both"," [kg]",619201646.52013,40169608.7103703,0.0776844102328283
"1","2004","Both"," [kg]",484672701.654447,31741301.4653272,0.0771336945505508
"1","2005","Both"," [kg]",507615343.035911,30199267.9427109,0.0702948950934418
"1","2006","Both"," [kg]",440335649.623744,17833103.7230675,0.0473168321471024
"1","2007","Both"," [kg]",582740293.900053,25615743.2049718,0.0515728387568029
"1","2008","Both"," [kg]",478838310.391089,21117494.0815999,0.0517589784349446
"1","2009","Both"," [kg]",701062834.263604,27529396.1704184,0.046068466806376
"1","2010","Both"," [kg]",723828419.157561,30395442.0005118,0.0484276364175219
"1","2011","Both"," [kg]",849677232.12464,35287568.6738994,0.0486516123569249
"1","2012","Both"," [kg]",1026236392.65609,51843224.2362747,0.0598132854191747
"1","2013","Both"," [kg]",735245433.86369,34786026.6141597,0.0557489395107051
