"m","Year","COG_hat","SE"
"1","1982","635.147599329685","15.979282947297"
"1","1983","704.050215306868","16.9297834892122"
"1","1984","698.510155148494","17.0167569562999"
"1","1985","677.453696603069","12.7055054996408"
"1","1986","711.050650257489","12.8155913393205"
"1","1987","704.94657333613","12.9585926965486"
"1","1988","670.744115481296","12.6136359417046"
"1","1989","575.647108945219","12.3078763499371"
"1","1990","672.17559841731","16.8954883763569"
"1","1991","771.111299231958","16.9081577831066"
"1","1992","797.327756406296","16.9590436127375"
"1","1993","771.724752461238","13.41934327578"
"1","1994","739.056966970258","13.3656172394736"
"1","1995","730.227900084978","13.6775735109787"
"1","1996","714.112822664961","14.7928057940854"
"1","1997","708.076913319823","15.1552499932278"
"1","1998","716.906423543324","19.9976917612472"
"1","1999","671.282795306606","16.9839269620236"
"1","2000","682.737262970167","14.992689448353"
"1","2001","741.52109411666","15.8710921242467"
"1","2002","657.305192571773","18.2622494208318"
"1","2003","676.390580880468","21.6600180241137"
"1","2004","629.955813612687","20.0077006328232"
"1","2005","632.222115125901","17.3669922677442"
"1","2006","602.102445312495","9.10322629387901"
"1","2007","735.005859829013","13.5488737410582"
"1","2008","707.402863655867","11.0287762143935"
"1","2009","739.718163834296","10.3548646500425"
"1","2010","739.205948816403","12.5028405102886"
"1","2011","742.393731304896","10.3717029408211"
"1","2012","862.78730963039","14.5616555333787"
"1","2013","792.603152975257","16.1293340307721"
"1","2014","811.642523503327","17.7436628551651"
"1","2015","773.243501158504","14.7327372189286"
"1","2016","667.302116532411","16.2095641650506"
"1","2017","688.86154850276","13.9910040559419"
"1","2018","638.139414306618","12.7752238552533"
"1","2019","778.763768884143","17.0162210907623"
"1","2020","764.054083169748","59.2066126551578"
"1","2021","672.197083108913","15.9156324972908"
"2","1982","6534.72303057218","15.2539145841539"
"2","1983","6565.32959993096","16.5821102548073"
"2","1984","6502.38660914623","12.4135567141384"
"2","1985","6510.1375197085","10.457667371319"
"2","1986","6455.98616685041","9.71454244196809"
"2","1987","6497.9310037291","18.8762123013842"
"2","1988","6445.90079085831","7.80661374565963"
"2","1989","6495.93479519885","15.2180286264294"
"2","1990","6481.92150971351","12.2103621900539"
"2","1991","6473.04413721393","8.79343752289399"
"2","1992","6445.93587998852","8.86519945776434"
"2","1993","6476.90473534865","12.1176716897748"
"2","1994","6456.58178299294","7.51413765056088"
"2","1995","6444.49176336133","7.91095827844169"
"2","1996","6486.39344366156","18.7211838947725"
"2","1997","6497.59556789616","15.7031714377921"
"2","1998","6533.76188940512","18.6930206899424"
"2","1999","6448.66395390502","10.4272478884493"
"2","2000","6500.24251220467","12.4090525873454"
"2","2001","6474.90749979702","11.5921096265408"
"2","2002","6531.32379192753","15.8766084561004"
"2","2003","6536.80775977778","21.0129703656874"
"2","2004","6545.37269445464","16.5695378178763"
"2","2005","6552.63174462865","14.9288228268035"
"2","2006","6511.41107063778","7.93844101819241"
"2","2007","6513.59872710207","8.72039670557995"
"2","2008","6489.24061992634","6.81805223271424"
"2","2009","6453.58239729181","7.82147331594169"
"2","2010","6415.50218477105","4.6546951441111"
"2","2011","6473.67647530032","10.467172327678"
"2","2012","6467.99381572416","6.45529493885134"
"2","2013","6478.48541890971","12.4606664720286"
"2","2014","6532.04486813137","20.7690318225622"
"2","2015","6537.34451109163","22.1299531959428"
"2","2016","6619.09753396352","33.9542584352819"
"2","2017","6644.42235697185","10.9247997696528"
"2","2018","6728.45615012866","17.2819308020748"
"2","2019","6605.57445488966","12.8265752182037"
"2","2020","6513.56560190849","29.8210839609982"
"2","2021","6591.72164315316","8.87448711496928"
