"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Both"," [kg]",715137393.40425,33817343.4961603,0.0567178327806045
"1","1983","Both"," [kg]",872626947.488353,48350401.4926696,0.0669035215582451
"1","1984","Both"," [kg]",709272350.054103,30944538.4902895,0.0519027272925478
"1","1985","Both"," [kg]",903255937.362853,35449389.8150128,0.046582006792279
"1","1986","Both"," [kg]",888576631.58857,36009726.0664667,0.0480975680964478
"1","1987","Both"," [kg]",834655963.366025,40973531.0976008,0.0592246209761856
"1","1988","Both"," [kg]",549740582.2541,20790224.949273,0.0444011995438561
"1","1989","Both"," [kg]",360764000.003352,17422197.167461,0.0574248489474492
"1","1990","Both"," [kg]",472851209.165372,20641377.3969438,0.0513701288900715
"1","1991","Both"," [kg]",516368642.945508,22933155.5028544,0.0520688472713819
"1","1992","Both"," [kg]",556963200.769372,26846833.1846161,0.0569701635049843
"1","1993","Both"," [kg]",818911065.523771,38747464.322102,0.0559786575353688
"1","1994","Both"," [kg]",1163585444.16033,48608330.4278885,0.0489975772102448
"1","1995","Both"," [kg]",719756463.434114,29526725.4758697,0.048196500241551
"1","1996","Both"," [kg]",609094247.934449,30263731.1869856,0.0592869152497792
"1","1997","Both"," [kg]",520055530.136242,24302106.5495772,0.0555996095233336
"1","1998","Both"," [kg]",617899440.819135,36663416.980211,0.0710843119299822
"1","1999","Both"," [kg]",525639946.66636,24153433.9280308,0.0545632937426671
"1","2000","Both"," [kg]",520031812.114993,25016467.1818963,0.0566280518801204
"1","2001","Both"," [kg]",1012698503.43392,47650786.4199668,0.0553278411361067
"1","2002","Both"," [kg]",634107354.187066,37585616.13457,0.0705936207124967
"1","2003","Both"," [kg]",630890216.341738,42023978.787058,0.0804550769564084
"1","2004","Both"," [kg]",494198334.067586,33863227.6212119,0.0812839595011374
"1","2005","Both"," [kg]",508213354.656831,30989232.1344484,0.0724736927851896
"1","2006","Both"," [kg]",443519823.613923,17656921.0238509,0.0466695197660949
"1","2007","Both"," [kg]",596131073.60498,26031937.6610931,0.0514423061961513
"1","2008","Both"," [kg]",484998334.106465,21127082.5499541,0.0512459667306394
"1","2009","Both"," [kg]",714703917.078805,27940325.4159779,0.0459926944933918
"1","2010","Both"," [kg]",751438701.055888,31920674.5963143,0.0491914368385655
"1","2011","Both"," [kg]",863289277.305038,35536459.1472537,0.0484430631833239
"1","2012","Both"," [kg]",1052051216.87428,52359592.8483803,0.0591524737075108
"1","2013","Both"," [kg]",760432252.433586,35993911.7389276,0.0560240365740375
"1","2014","Both"," [kg]",1232954019.48021,71106839.1407316,0.0693730701503753
"1","2015","Both"," [kg]",1087608512.29233,61375756.6178794,0.067800309735347
"1","2016","Both"," [kg]",950896379.591168,74178604.4075459,0.0965600176034529
"1","2017","Both"," [kg]",521190305.394358,19234061.4755382,0.0436152583408645
"1","2018","Both"," [kg]",533080266.874415,27685331.9847806,0.0636343523175813
"1","2019","Both"," [kg]",764930334.414968,32835376.5179939,0.0510195337893748
"1","2020","Both"," [kg]",0.0043589251201862,0.00129747710266246,0.420746442052889
"1","2021","Both"," [kg]",601915375.665897,27462666.4734271,0.0540457519290361
"1","1982","EBS"," [kg]",644986982.445063,26137230.3551275,0.0478167117637942
"1","1983","EBS"," [kg]",757391732.915074,34245449.2298086,0.0533471437717566
"1","1984","EBS"," [kg]",660607179.657724,26580811.4570433,0.0472406690906429
"1","1985","EBS"," [kg]",823254847.089192,30721882.3093582,0.0437242043987987
"1","1986","EBS"," [kg]",842881608.950647,32805462.2564539,0.0457302075418755
"1","1987","EBS"," [kg]",730024232.460165,27342849.3189448,0.0441168853977312
"1","1988","EBS"," [kg]",517831695.725718,20114135.7224186,0.0453822569387811
"1","1989","EBS"," [kg]",333374328.681371,15345250.3882926,0.053974519633989
"1","1990","EBS"," [kg]",443791822.987157,18563115.1027845,0.0486749394044365
"1","1991","EBS"," [kg]",484844030.173912,22012631.3994,0.0528424646074879
"1","1992","EBS"," [kg]",536397244.854657,25734679.4926028,0.0562946554990917
"1","1993","EBS"," [kg]",763726645.750277,34843183.5638338,0.0532791276928466
"1","1994","EBS"," [kg]",1133753614.93365,47205411.975637,0.048539764794988
"1","1995","EBS"," [kg]",700023656.382706,28469722.4663788,0.0474578698345875
"1","1996","EBS"," [kg]",558361099.709893,24760506.5784939,0.051854135446391
"1","1997","EBS"," [kg]",482299957.542797,20670242.4993946,0.0501361105763652
"1","1998","EBS"," [kg]",556396110.439491,31308900.5976577,0.065922243364718
