"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Both"," [kg]",702575731.079609,33729039.5960747,0.0570535841663922
"1","1983","Both"," [kg]",860379313.768751,48715411.1409263,0.0677626048036812
"1","1984","Both"," [kg]",698820267.11861,31396524.916376,0.0530264347787047
"1","1985","Both"," [kg]",880975390.517064,34860869.0367793,0.0465439514047158
"1","1986","Both"," [kg]",880624478.120729,36152063.1038047,0.0483343948325334
"1","1987","Both"," [kg]",809588770.02801,40338230.3143141,0.0595957857235634
"1","1988","Both"," [kg]",539312931.869856,20569770.9320597,0.0443884601380958
"1","1989","Both"," [kg]",352842432.047015,16330364.0802754,0.0543613150426523
"1","1990","Both"," [kg]",467872325.583327,20689616.2847416,0.0515146031515565
"1","1991","Both"," [kg]",507631989.24666,22844013.5597603,0.0523506205689841
"1","1992","Both"," [kg]",549922100.638727,27435752.039024,0.0585638526137094
"1","1993","Both"," [kg]",801640934.214821,38452017.7957603,0.056376604590382
"1","1994","Both"," [kg]",1127592808.93626,47884628.4969434,0.0495529694060545
"1","1995","Both"," [kg]",706683173.99179,29375303.7200703,0.0484808056525185
"1","1996","Both"," [kg]",602297086.668552,29129813.4583116,0.0571907127815457
"1","1997","Both"," [kg]",506322465.28312,22791517.1624371,0.0531427851667717
"1","1998","Both"," [kg]",608201384.794502,34650289.4713177,0.0676219169727296
"1","1999","Both"," [kg]",519310741.934211,24473661.5346254,0.0554211832971057
"1","2000","Both"," [kg]",501131143.70996,22107353.6169412,0.0515126480255013
"1","2001","Both"," [kg]",992176606.574313,44669218.095437,0.0524951041745075
"1","2002","Both"," [kg]",617782210.28445,34012421.8681013,0.0648789500517898
"1","2003","Both"," [kg]",606001932.075682,36255982.3810432,0.0715012961079722
"1","2004","Both"," [kg]",470729718.315289,27181278.1925655,0.0678070902723812
"1","2005","Both"," [kg]",491961735.650148,24887124.0677744,0.0595533097206348
"1","2006","Both"," [kg]",431419722.195043,17010701.1098688,0.045844464991085
"1","2007","Both"," [kg]",569314816.711838,24969790.6263908,0.0513526854346648
"1","2008","Both"," [kg]",477256366.12345,21497677.744589,0.0526743852632246
