"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Both"," [kg]",703393696.736157,33786178.2267223,0.0571838600080555
"1","1983","Both"," [kg]",862657585.82041,48770258.9372163,0.0677757778794001
"1","1984","Both"," [kg]",701422898.512114,31623267.9297789,0.0532984844363986
"1","1985","Both"," [kg]",884265494.123499,35100443.411965,0.0467509399347647
"1","1986","Both"," [kg]",882828193.685999,36297139.5388702,0.0484563666932007
"1","1987","Both"," [kg]",813408388.841211,40925742.5417683,0.0603011261575251
"1","1988","Both"," [kg]",540504587.014481,20647103.5059994,0.0445249291662457
"1","1989","Both"," [kg]",353463879.710661,16392412.7426438,0.0545779593359927
"1","1990","Both"," [kg]",469327876.527037,20806458.286653,0.0517602129016195
"1","1991","Both"," [kg]",508630204.022077,22867916.3831417,0.0523934867228619
"1","1992","Both"," [kg]",551450492.841649,27535381.2627936,0.058681403475985
"1","1993","Both"," [kg]",803683713.944514,38726555.4577865,0.0567120919931793
"1","1994","Both"," [kg]",1130677137.37653,48114779.2121749,0.0497014368522689
"1","1995","Both"," [kg]",708113750.272381,29474974.2686712,0.0485971970387268
"1","1996","Both"," [kg]",604013196.87748,29487446.2770242,0.0578683703288364
"1","1997","Both"," [kg]",507646561.748234,23030082.8814872,0.0536721879738748
"1","1998","Both"," [kg]",609499972.94131,34802519.0232017,0.0679245066356384
"1","1999","Both"," [kg]",520019288.599779,24506438.5973541,0.0554990150099459
"1","2000","Both"," [kg]",502933328.030867,22285304.1429298,0.0518281603845264
"1","2001","Both"," [kg]",995398540.113841,44989846.8252487,0.0527718916783032
"1","2002","Both"," [kg]",620434694.416958,34340287.8981972,0.0653571803862377
"1","2003","Both"," [kg]",609290722.870924,36812885.5215041,0.0724600845213586
"1","2004","Both"," [kg]",472737082.217191,27367019.6795396,0.0681393712637262
"1","2005","Both"," [kg]",494739890.686814,25257645.6792262,0.060251613861121
"1","2006","Both"," [kg]",433005441.764379,17147546.2697081,0.0460921448911258
"1","2007","Both"," [kg]",570975204.559902,25043137.4023998,0.0514065702838999
"1","2008","Both"," [kg]",478137579.56477,21515648.0091811,0.0526439213612303
"1","2009","Both"," [kg]",712976099.479911,28337967.2225747,0.0464663640918348
"1","2010","Both"," [kg]",730778084.60738,30863904.7219235,0.0486108485438717
"1","2011","Both"," [kg]",845503794.405373,35254109.6499995,0.0487559577907839
"1","2012","Both"," [kg]",1025736638.55186,52244401.9866679,0.0603441752358096
"1","2013","Both"," [kg]",743302872.318943,35458071.0848163,0.0562013219050426
"1","2014","Both"," [kg]",1237951675.51416,72135797.2524523,0.0697762039291846
"1","2015","Both"," [kg]",1092766540.94217,62765339.4612874,0.0686980934236191
"1","2016","Both"," [kg]",926394313.972093,71827516.620271,0.0953429615399097
"1","2017","Both"," [kg]",515115170.846147,18747422.4062985,0.0427626189417899
"1","2018","Both"," [kg]",521134030.376471,26708165.5548418,0.0624842077117722
"1","2019","Both"," [kg]",760096612.464253,32663528.8412598,0.0509239310199759
"1","2020","Both"," [kg]",0.0043677127900401,0.00130117027657557,0.417819722629326
"1","2021","Both"," [kg]",597673814.052197,25201289.3083198,0.0496479115553771
"1","1982","EBS"," [kg]",633539610.450462,25970036.1993198,0.0480065623978596
"1","1983","EBS"," [kg]",745426487.143767,33957821.8758256,0.0533519744450649
"1","1984","EBS"," [kg]",651447838.097754,27047391.322124,0.0484246174106633
"1","1985","EBS"," [kg]",804157049.179099,30095551.8887891,0.0434931907043487
"1","1986","EBS"," [kg]",835368477.032505,32852405.3167334,0.0458688744638787
"1","1987","EBS"," [kg]",709044217.496991,26921318.7311869,0.0444182853590221
"1","1988","EBS"," [kg]",507952681.149824,19917455.4216596,0.0454610303647864
"1","1989","EBS"," [kg]",325999070.192941,14101970.9382663,0.050175503218553
"1","1990","EBS"," [kg]",439700816.400136,18629742.054733,0.0489021237099287
"1","1991","EBS"," [kg]",476257818.207278,21863337.3662074,0.0530978562577277
"1","1992","EBS"," [kg]",530643150.254351,26399163.5542403,0.0580350720879814
"1","1993","EBS"," [kg]",746266401.73859,34541208.0283378,0.0537480069010578
"1","1994","EBS"," [kg]",1100309942.76333,46655111.5435581,0.0492119257787274
