"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1994","Both"," [kg]",270730.000898021,68527.98551595,0.30776180790747
"2","1994","Both"," [kg]",135690789.850077,12050553.2186322,0.101044386900144
"3","1994","Both"," [kg]",492089391.912523,36489726.427081,0.0837906546617785
"4","1994","Both"," [kg]",215709872.575439,14413979.0958247,0.074266317810358
"5","1994","Both"," [kg]",143682769.791613,8849267.06221357,0.0671619390516253
"6","1994","Both"," [kg]",142219323.29484,8797173.97176817,0.0670036479662948
"7","1994","Both"," [kg]",101133306.75382,7289973.77224788,0.0784187766242363
"8","1994","Both"," [kg]",27021142.8063167,2239183.68487901,0.0899772771255233
"9","1994","Both"," [kg]",11795942.5495439,1437054.58403652,0.133441571449359
"10","1994","Both"," [kg]",6132438.25559152,756707.499465458,0.134895510430353
"11","1994","Both"," [kg]",1884746.67210153,250108.909812397,0.146804440633444
"12","1994","Both"," [kg]",1471127.46490463,196168.499626159,0.149512200961529
"13","1994","Both"," [kg]",1672984.96003922,239616.946273784,0.164699589653116
"1","1995","Both"," [kg]",123458.997246752,32488.2063539254,0.32706196556006
"2","1995","Both"," [kg]",52103687.3196637,5390923.52582212,0.118728413381832
"3","1995","Both"," [kg]",216513593.607754,18080687.2131651,0.0943013882864771
"4","1995","Both"," [kg]",354818025.349176,24736667.8781332,0.0779600421735829
"5","1995","Both"," [kg]",86429703.6929732,5485294.31936306,0.0702024496500721
"6","1995","Both"," [kg]",64107671.4255216,4517298.44623351,0.0774978288270506
"7","1995","Both"," [kg]",45697329.1235514,3989001.28183804,0.0961516285013285
"8","1995","Both"," [kg]",11654923.6833403,1144200.13290437,0.107986422837727
"9","1995","Both"," [kg]",6488543.56470328,858520.187528032,0.146418967781431
"10","1995","Both"," [kg]",4853548.23060253,622883.710744239,0.141387144484038
"11","1995","Both"," [kg]",1280905.4829505,173787.540527056,0.150763394877363
"12","1995","Both"," [kg]",1262399.04272227,176457.964211061,0.15804769601616
"13","1995","Both"," [kg]",1230425.52629644,208082.709640761,0.197786074605561
"1","1996","Both"," [kg]",20874.0112544317,6931.48089953433,0.418480645182385
"2","1996","Both"," [kg]",44474543.9928078,5760717.99441954,0.152868819471236
"3","1996","Both"," [kg]",123316404.474284,11142044.2321145,0.103172721097256
"4","1996","Both"," [kg]",112851224.427233,9095091.67497745,0.0894382904635947
"5","1996","Both"," [kg]",177743949.348494,11476067.0160999,0.0709182868754234
"6","1996","Both"," [kg]",95531440.3597602,7250793.55429438,0.0840587509413451
"7","1996","Both"," [kg]",49844893.1592425,4919612.92478996,0.110534373602998
"8","1996","Both"," [kg]",22901361.4363024,2140771.25179766,0.103323443296549
"9","1996","Both"," [kg]",6728331.43008854,842659.717317403,0.138986419732114
"10","1996","Both"," [kg]",2558386.96176524,325081.155850333,0.140978381603823
"11","1996","Both"," [kg]",1254837.56383269,166084.853594371,0.14807770512396
"12","1996","Both"," [kg]",1063559.02594496,141626.189695269,0.150865001268777
"13","1996","Both"," [kg]",1120201.44234704,152485.017456209,0.158316871275181
"1","1997","Both"," [kg]",166859.760048919,34154.8492940167,0.24186485683337
"2","1997","Both"," [kg]",155660922.31622,14780847.939542,0.110340877466266
"3","1997","Both"," [kg]",91852866.545463,9029817.77710232,0.112902249435695
"4","1997","Both"," [kg]",80989915.3235478,6558767.92648171,0.0907494191367214
"5","1997","Both"," [kg]",77085581.768975,5109029.21387426,0.0728349059590186
"6","1997","Both"," [kg]",66518331.4115543,5003394.30814531,0.0825801379143329
"7","1997","Both"," [kg]",55449775.2320853,5316163.1009909,0.106717172262722
"8","1997","Both"," [kg]",14361117.5136524,1382958.23665716,0.10670128064934
"9","1997","Both"," [kg]",6755106.57798761,903644.347928101,0.149596351319328
"10","1997","Both"," [kg]",1410131.84256628,221201.62487205,0.176211734038949
"11","1997","Both"," [kg]",1028288.93567647,171154.806081497,0.189121647643882
"12","1997","Both"," [kg]",492759.437050213,85637.2852072131,0.200032713667648
"13","1997","Both"," [kg]",362047.631326814,70287.0434512118,0.232745078267183
"1","1998","Both"," [kg]",39282.7957523812,11480.7919284445,0.365595009863969
"2","1998","Both"," [kg]",43455746.8776855,5216267.35280677,0.138988205821937
"3","1998","Both"," [kg]",268768800.644268,22846904.1605372,0.0985389621082897
"4","1998","Both"," [kg]",114634746.044675,8115267.53514859,0.0801693864472171
"5","1998","Both"," [kg]",64152584.3177486,4362154.23809329,0.0753612379294908
"6","1998","Both"," [kg]",34637904.0494987,2803399.35420384,0.0890264792495374
"7","1998","Both"," [kg]",38198785.2780481,3755762.02395396,0.109268991714975
"8","1998","Both"," [kg]",19187734.9685181,1874028.5208108,0.107924835058148
"9","1998","Both"," [kg]",11547156.2440804,1518306.97854852,0.14688318226955
"10","1998","Both"," [kg]",2332976.36558018,341981.511399988,0.16458565668919
"11","1998","Both"," [kg]",454151.140168359,75137.0294523932,0.188214741827296
"12","1998","Both"," [kg]",482126.389000526,76991.8659087841,0.183961932124144
"13","1998","Both"," [kg]",266466.181616439,48980.5926778034,0.220590011398019
"1","1999","Both"," [kg]",41604.58610581,12528.8421096546,0.387291341161739
"2","1999","Both"," [kg]",49740600.9100938,5354905.39884891,0.126189175398368
"3","1999","Both"," [kg]",110365994.559486,9877542.2960082,0.101531234179551
"4","1999","Both"," [kg]",166735600.559345,12733391.1157315,0.0844250549833593
"5","1999","Both"," [kg]",122506764.900411,8296280.50857966,0.0736383633139183
"6","1999","Both"," [kg]",42856194.2083156,2955457.09581986,0.0746562224680497
"7","1999","Both"," [kg]",34160769.6824704,2792194.8413297,0.0891617737897161
"8","1999","Both"," [kg]",16900395.1608494,1446214.69499336,0.093310212694216
"9","1999","Both"," [kg]",8114569.45808257,1018289.01293217,0.138934565761392
"10","1999","Both"," [kg]",3543820.05637863,440094.228042373,0.137443547733628
"11","1999","Both"," [kg]",646702.622461623,93620.6678870823,0.16297024158146
"12","1999","Both"," [kg]",798962.602384281,116123.218339809,0.165705719516042
"13","1999","Both"," [kg]",374371.824325696,59641.3088197505,0.186871508061455
"1","2000","Both"," [kg]",0,0,0
"2","2000","Both"," [kg]",104362195.352451,10863830.5116802,0.11669784482804
"3","2000","Both"," [kg]",62822157.1387543,5292896.61447163,0.0962372373054901
"4","2000","Both"," [kg]",87841779.9171697,6397184.94394919,0.0811045469533738
"5","2000","Both"," [kg]",126420552.485024,8184344.71556311,0.0703319390535899
"6","2000","Both"," [kg]",83419950.7494057,5080069.71332598,0.0661602801224556
"7","2000","Both"," [kg]",34687391.814994,2684909.55493419,0.0847345671353521
"8","2000","Both"," [kg]",8204772.08550673,753432.038377315,0.100850614834923
"9","2000","Both"," [kg]",9721432.81905628,1135337.6821659,0.129279619284738
"10","2000","Both"," [kg]",2944804.36110592,382533.375521639,0.144607050102361
"11","2000","Both"," [kg]",2136863.41374684,296842.085557246,0.156557850613026
"12","2000","Both"," [kg]",883545.533972083,120186.120601486,0.155833837969729
"13","2000","Both"," [kg]",388581.811419694,63517.7093353947,0.193469286428803
"1","2001","Both"," [kg]",37086.4953045173,10275.3135364305,0.333312701146006
"2","2001","Both"," [kg]",314736269.010662,25749402.9594252,0.0927440212604518
"3","2001","Both"," [kg]",246946989.953278,18636071.0448559,0.0854312119366627
"4","2001","Both"," [kg]",194722764.134792,13111012.8034072,0.0752599092148541
"5","2001","Both"," [kg]",87433348.2711879,5627487.61301647,0.069565977672519
"6","2001","Both"," [kg]",88757425.4933566,5424740.67008406,0.0658712339739277
"7","2001","Both"," [kg]",73875454.7662508,5334877.97300881,0.0784497499469873
"8","2001","Both"," [kg]",27403775.4923136,2116860.6527791,0.08393383014001
"9","2001","Both"," [kg]",8601928.07353465,1022310.20750346,0.131339078074198
"10","2001","Both"," [kg]",2109591.80559184,265492.165805557,0.139754443869661
"11","2001","Both"," [kg]",1684693.62000747,201167.484339393,0.133487883923481
"12","2001","Both"," [kg]",1134528.30571598,141728.953527892,0.141843337257737
"13","2001","Both"," [kg]",509675.800282602,72410.115977252,0.165887633993988
"1","2002","Both"," [kg]",180658.008942059,56912.8495091194,0.357385768981032
"2","2002","Both"," [kg]",48163011.7254038,5464049.61261881,0.131892076216647
