"","age_0","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12+","Year","Region"
"X1",0.000211379900801666,0.10594431944398,0.384212338872644,0.168421421030881,0.112184277784937,0.111041651647123,0.0789626132251948,0.0210975010785686,0.00921000686186967,0.00478806998056917,0.00147156784716727,0.00114862326512267,0.00130622906114117,"1994","Both"
"X2",0.000145835360215374,0.0615472357484442,0.255755664791313,0.41912712472696,0.10209468125017,0.0757268855523266,0.0539797552404707,0.0137673238204383,0.0076645615883337,0.00573323103473718,0.00151306358121946,0.00149120293568389,0.0014534343696879,"1995","Both"
"X3",3.26457374849238e-05,0.0695555957239722,0.192859672201119,0.176492740307472,0.27798118144315,0.149405607074168,0.0779545089444768,0.0358163950562285,0.0105227183650003,0.00400116815693044,0.00196249284317149,0.00166334435377623,0.00175192979304973,"1996","Both"
"X4",0.00030220897357032,0.281926136921224,0.166359825221238,0.146685331276401,0.139613976051764,0.120475042356543,0.100428165860244,0.0260102170939909,0.0122345484896613,0.00255396805446587,0.00186239117024618,0.000892463968810545,0.000655724561840221,"1997","Both"
"X5",6.56728915398556e-05,0.0726492220531088,0.44932708978429,0.191646116308676,0.107250149364574,0.057907571806998,0.0638606452130491,0.0320780131186718,0.0193045104119223,0.00390026475680532,0.000759248877268886,0.000806017836737461,0.000445477576357969,"1998","Both"
"X6",7.47227119007503e-05,0.0893351656503104,0.198219648048766,0.299460646297708,0.220024726992009,0.0769706263835027,0.0613534610054601,0.0303534652502318,0.0145739374566271,0.00636477537422014,0.00116149151492007,0.00143495364202403,0.000672379672320326,"1999","Both"
"X7",0,0.199227598584966,0.119927598901239,0.167690098979083,0.241337037787644,0.159248819994184,0.0662182866998762,0.0156629230921414,0.0185582308689924,0.00562163625615883,0.00407927568969886,0.00168668984376244,0.000741803302254161,"2000","Both"
"X8",3.53894463824761e-05,0.300334184325492,0.235646889481113,0.185812403253871,0.0834324668663603,0.084695955353893,0.0704949719288473,0.0261498002305038,0.00820831059512898,0.00201305854003977,0.001607603361995,0.00108261318075118,0.00048635343562242,"2001","Both"
"X9",0.000298258923134025,0.0795151463045159,0.194669779031244,0.299607179988399,0.233042172098368,0.071530059748141,0.0639942900981624,0.0402717642888957,0.0115219346960803,0.00332019054748237,0.00106391219842549,0.000515020011000601,0.000650292066150809,"2002","Both"
"X10",6.5320455957897e-06,0.172922836543129,0.158682492432356,0.229606486757013,0.205342240719007,0.127575904274246,0.0479351478262412,0.0332003827468399,0.0186175633204186,0.00410502593957012,0.000540264376417279,0.000638308696774934,0.000826814322392356,"2003","Both"
