,CRUISEJOIN,REGION,VESSEL,CRUISE,START_DATE,END_DATE,MIN_LATITUDE,MAX_LATITUDE,MIN_LONGITUDE,MAX_LONGITUDE,AGENCY_NAME,SURVEY_NAME,AUDITJOIN
1,87,BS,11,197902,7/14/1979 0:00,8/28/1979 0:00,56.91167,61.83833,-171.02833,-178.825,USA,SHRMP,79
2,88,BS,12,197902,7/7/1979 0:00,8/22/1979 0:00,54.33333,61.46667,-162.71667,-179.36667,USA,USJPN COOP,80
3,89,BS,14,197104,7/23/1971 0:00,8/31/1971 0:00,54.66667,58.68333,-160.3,-170.25,USA,CRAB/GRFSH,81
4,90,BS,14,197202,5/28/1972 0:00,7/24/1972 0:00,54.63333,58.66667,-159.6,-168.86667,USA,CRAB/GRFSH,82
5,91,BS,14,197304,7/9/1973 0:00,8/12/1973 0:00,54.65,58,-158.96667,-165.83333,USA,CRAB/GRFSH,83
6,92,BS,14,197402,6/14/1974 0:00,8/1/1974 0:00,54.63333,57.66667,-161.58333,-172.53333,USA,CRAB/GRFSH,84
7,93,BS,14,197502,6/1/1975 0:00,8/10/1975 0:00,54.66667,58.01667,-158.33333,-172.66667,USA,CRAB/GRFSH,85
8,94,BS,14,197602,5/29/1976 0:00,8/9/1976 0:00,54.66667,58.33333,-158.35,-172.56667,USA,CRAB/GRFSH,86
9,95,BS,14,197700,5/25/1977 0:00,6/1/1977 0:00,55.4,55.66667,-163.53333,-163.9,USA,COMP TOWS,87
10,96,BS,14,197703,6/4/1977 0:00,8/5/1977 0:00,54.66667,58.68333,-158.31667,-172.98333,USA,CRAB/GRFSH,88
11,97,BS,14,197802,5/20/1978 0:00,7/7/1978 0:00,54.53333,57.66667,-159.05,-170.85,USA,CRAB/GRFSH,89
12,98,BS,14,197902,5/25/1979 0:00,8/24/1979 0:00,54.98333,58,-158.95,-172.41667,USA,USJPN COOP,90
13,99,BS,14,198002,5/22/1980 0:00,7/9/1980 0:00,54.67167,59.6735,-162.7045,-177.60217,USA,CRAB/GRFSH,91
14,100,BS,16,197303,6/26/1973 0:00,7/18/1973 0:00,54.66667,57.66667,-164.58333,-171.53333,USA,CRAB/GRFSH,92
15,101,BS,17,197403,6/23/1974 0:00,7/24/1974 0:00,54.61667,58.71667,-158.26667,-171.56667,USA,CRAB/GRFSH,93
16,102,BS,17,197501,8/7/1975 0:00,9/30/1975 0:00,54.61667,61.68333,-158.06667,-178.48333,USA,EBS SURVEY,94
17,103,BS,17,197601,4/21/1976 0:00,6/13/1976 0:00,54.51667,59.15,-158.1,-175.76667,USA,CRAB/GRFSH,95
18,104,BS,19,197501,8/7/1975 0:00,9/30/1975 0:00,54.61667,61.88333,-158.01667,-178.75,USA,EBS SURVEY,96
19,105,BS,19,197601,4/21/1976 0:00,6/20/1976 0:00,54.85,59.83333,-159.15,-174.73333,USA,CRAB/GRFSH,97
20,106,BS,19,198201,5/31/1982 0:00,8/1/1982 0:00,55.01017,62.62717,-158.92433,-177.58383,USA,CRAB/GRFSH,98
21,107,BS,19,198701,6/3/1987 0:00,8/7/1987 0:00,54.51317,61.8555,-160.14483,-178.75183,USA,CRAB/GRFSH,99
22,108,BS,20,197701,7/10/1977 0:00,8/8/1977 0:00,53.93333,58.75,-157.8,-166.63333,USA,NMFS CLAM,100
23,109,BS,21,197501,8/18/1975 0:00,10/20/1975 0:00,54.61667,60.38333,-159.61667,-171.93333,USA,EBS SURVEY,101
24,110,BS,21,197601,4/1/1976 0:00,5/31/1976 0:00,54.6,58.76667,-159.86667,-174.55,USA,CRAB/GRFSH,102
25,111,BS,21,197602,9/2/1976 0:00,10/9/1976 0:00,63.06667,68.3,-161.25,-171.85,USA,CHUKCHI/NS,103
26,112,BS,21,197603,9/3/1976 0:00,10/9/1976 0:00,63.06667,68.18333,-161.3,-169.2,USA,CHK. GLNET,104
27,114,BS,21,197902,7/26/1979 0:00,8/5/1979 0:00,63.16667,64.76667,-161.53333,-169.58333,USA,CHUKCHI/NS,106
28,117,BS,21,198101,2/11/1981 0:00,2/24/1981 0:00,54.11633,57.01167,-164.176,-170.10483,USA,GRFSH,107
29,118,BS,21,198105,9/21/1981 0:00,10/6/1981 0:00,55.67467,63.078,-160.85583,-174.2085,USA,HERRING,108
30,119,BS,21,198106,10/14/1981 0:00,11/4/1981 0:00,53.79167,57.40333,-163.424,-170.673,USA,NMML/GRFSH,109
